filepath,filename,size_bytes,status,error
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135301.jpg,2026-03-08_135301.jpg,12295703,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135452.jpg,2026-03-08_135452.jpg,6614330,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135645.jpg,2026-03-08_135645.jpg,12555119,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135705.jpg,2026-03-08_135705.jpg,12677354,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135726.jpg,2026-03-08_135726.jpg,9158171,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135757.jpg,2026-03-08_135757.jpg,11344188,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135932.jpg,2026-03-08_135932.jpg,11939813,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135945.jpg,2026-03-08_135945.jpg,11695015,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135953.jpg,2026-03-08_135953.jpg,11533889,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_140000.jpg,2026-03-08_140000.jpg,13622521,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_140006.jpg,2026-03-08_140006.jpg,14128659,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_140017.jpg,2026-03-08_140017.jpg,12383353,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_140027.jpg,2026-03-08_140027.jpg,11601702,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_140039.jpg,2026-03-08_140039.jpg,16452347,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_140150.jpg,2026-03-08_140150.jpg,10672614,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_140157.jpg,2026-03-08_140157.jpg,15100459,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_140203.jpg,2026-03-08_140203.jpg,14770555,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_140216.jpg,2026-03-08_140216.jpg,12052932,subido,
